,Response,Concrete
178,"Although this is not true for me, as an exercise I would start with using more one on one phone chats, I don't think texting can always be interpreted in the context that was intended, I would try more verbal communications with people I meet on walks or shopping, rather than just hello and stay well. As allowed I would invite one or two people to visit my home. When possible I would try volunteering with groups that I could help. Again, as mentioned, although I actually don't feel a need for more connections I guess these actions could help if I did.",Medium
648,"Look through my list of contacts.
Add friends & family to favourites lists.
Work out a good time to call individuals so as not to interfere with work.
Work out the best method of communicating with each person, and revise my knowledge on each circumstances.
Txt, phone or email people on the list when time permits - 1 or 2 a day. Till the list has been worked through.
",High
956,I would ring some friends . Discuss what they are doing and if they need any help  and speak about what we will do together when restrictions end and make some plans to get together.,Medium
546,Join clubs and organisations to meet people,Low
854,I would telephone a friend who might be in similar circumstances.  I would chat to identify if he or she was feeling the same. I would empathise with the person and together discuss possible solutions.  Mabe we could visit one another keeping a suitable distance. Or they might suggest a local activity we might volunteer for to help someone else.  This might cheer both of us and fill our team so we would feel better about ourselves and be of use to others.,High
164,"I feel alone, I never see anyone or speak to anyone. I feel sad and afraid.
I would say hello to my neighbours, to shop assistants.
I would get out and walk.
I would google who I could phone and chat to about this eg Red Cross, Care army, Lifeline etc.
I would see if i could volunteer somewhere or do something for a neighbour - check the suburb Facebook page
I would join a group that regularly meets
I would begin to feel better. ",High
92,"I am feeling isolated and lonely.  I decide to go for a walk to the coast where I live.  As I see the flowers and hear the birds my heart lightens.  I think of those who love me and I love, those I canâ€™t physically see but have contact with via technology.  I think especially of my granddaughterâ€™s smaller.This clams my mind.  I return home and ring a friend.  I then enjoy cook ing one of my favourite vegetarian meals and share it with my partner.  I feel connected and closer to people.",Medium
409,I don't feel very connected to other people during self-isolation and feel isolated and lonely. I will have to reach out to other people without leaving home . I will make a list of people I know that I have not spoken to for some time. I will ring those who I know are at home. I will email those who may not be at home. Will try and keep up the contact with these people. I then feel more connected and closer to others.,High
742,"How to get over feeling isolated and lonely. Firstly, I would start with a plan to get all my work is done, the ironing is up to date, all the clothes right place, the bathrooms clean (I know that hard work is a remedy for depression). Only then, would I make some phone calls to friends, text some people and email others.
I would continue to stay connected to children and grandchildren - this is done mainly by text but 1 when our free times coincide, I would call them
That would be a great day for me!",Medium
776,"I would go through our church directory and mark each of the people living alone or possibly needing assistance. I would spend a morning phoning and checking in on how these people are coping, who they are connecting with, whether they need assistance with shopping or meals, and whether they would like help to be part of a weekly Zoom catch up coffee morning. During the week I would make meals specific to the needs I had ascertained, and contact a mobile friend to collect and drop off meals, medicines, and shopping for the isolated friends. The 40 minute Zoom coffee catch up allows everyone to share in a community feel and encourages them to also contact eachother through the week. I can check FB for our local â€œFood Trade and Barterâ€ to check if there is anything that people need that I might have an abundance of, and sign up with Care Army to volunteer assistance locally in any way I can. I am soon feeling very social and wonder how I ever found time to work when my life is so busy!",Medium
260,"I would reach out to my closest family members via message (my sister) or phone (my parents). I would also reach out to my three best friends.

I know logically that this is the ends to the means, but honestly, probably not what I'd do because of my anxiety. Realistically, I'd probably just continue to feel lonely and isolated until someone contacted me first.",Medium
370,"Have been missing my friends, so as we are allowed up to 10 people together at a safe distance out in the open, decided to ring around and organise a outing at local park, with takeaway drinks & cakes.  After an hour talking and asking how everyone was coping I cane away feeling so much better knowing my friends are doing ok. And loved catching Up with them all.",High
618,"To feel more connected, first I would think of a friend that I could contact that maybe I haven't seen for a while. If we could meet safely I would suggest having a coffee and going for a walk to get us both out in the fresh air. When I found someone willing to join me I would make a time and place to meet near a park and some place to have a coffee. Maybe even bring a picnic lunch to share. I believe every time I can get out of the house my spirits lift even If it just saying hello to people I pass on my walk.",High
150,"If I am isolated and lonely it is my own fault and I am the only one who can do anything about it.  I talk to my husband about this and say I would like to spend some more time with him and suggest we could do something together like play table tennis, a fun thing that we both enjoy.  To connect to my family and friends they are as close as my mobile or landline a way.  I can text them, ring them or even zoom them. 3 I am quite content with my own company and as long as I have something to do to keep me occupied I am fine. I am a little concerned that I could become a bit selfish away from people so I try to make the effort to connect with other people not in my household.  Don't get me wrong I enjoy other people and this afternoon I will go for a walk with a friend that I used to work with.  Not only do our legs get a workout but so do our mouths and I will feel connected and closer to people once again.",High
435,"I would like to ring people instead of texting or liking pages on social media as i was feeling worried about some and a little disconnected with some, so i made a list of people i haven't actually spoken to for months. 
Over the course of a week i rang each of these people . it was really lovely to hear the surprise in their voices when we first connected.",Low
1160,"To feel more connected to others I would look at what has changed to cause me to feel lonely and isolated and explore ways to feel connected again. What have I stopped doing that I normally used to do? I used to regularly have coffee with my neighbour. I will call her and ask can I come over or would she like to go to the local cafe, grab a takeaway and sit in the park awhile. I will also call some friends whom I have not connected with for awhile and check on them. I will make some biscuits for a neighbour and drop them over. I will answer the letter I received in the mail this week instead of putting it off.",Low
535,"In the current Corona climate I have been reduced to being by myself, staying away from Family & friends and enduring a semi-hermit like existence whilst keeping a watchful eye from afar. However looking at the broader world wide picture I feel I am most fortunate to be in the position I am and if I maintain the current program by lying low & being careful, given time things will change & once more I will experience the joy of mingling with those I love & care about & live life to the extent I used to before. ",Low
966,"I would speak to my husband and children and tell them how I feel, they would probably laugh and say thats no good mum can I help you is there anything I can do.
I would say yes can you help me with the chores and then we go for a walk
We would all do the chores and later go for a walk",Low
980,I would txt or ring a someone and talk to them.  As restrictions are easing I would visit someone I cared about and often go for a walk with them.,Medium
62,"I would message a few friends to see how they are. And if they also feel lonely, I'd suggest a catch up. If they are busy, at least the brief conversation will make me feel more connected.  ",Medium
352,I would firstly send a text message to my regular walking group to see if anyone wanted to have a walk because I like getting outside and exercising with someone different from those I live with.  If no one was available I would text or ring a friend or a family member for a chat because I like talking to people and checking in with them to make sure they are OK also.  My last resort would be to go out to the shops to get supplies and be with other people.  There is always someone who will have a short interaction.,Medium
12,"Feeling sad and lonely will make me feel depressed
Think ""why am i feeling sad and lonely? Have I spoken to any one recently""
Think ""I would feel better if I was connected?""
Think ""How could I connect with other people""
I then would message a friend or family member to see how they are going. Hopefully a conversation will make me happier and feel more connected.
May also look into clubs or interesting social activities to attend (post-isolation)
Keep this up until I feel connected and closer to people 
",Medium
581,"I would firstly think about the people I have connected with other the passed 7 days and determine who I hadn't reached out to or spoken with.  I would try calling them to have a chat and if I couldn't contact them I would send them a text or leave a message to say I was thinking about them.  If I didn't hear back from them, I would follow up in a few days.",High
676,Firstly I wouldthink of people I would like to connect with then think of how to do that. I donâ€™t like making phone calls but like to txt. I would choose a couple of people to txt and stRt a conversation. Also I like to make cards and send them. So Ill make a couple of â€˜thinking of you cards and write a note then take a walk to the post office to post them. This gets me outside and and I-can watch other people walking along the shoreline. Also I can chat with the lady at the PO. Now I have had some social interaction,Medium
857,I feel isolated and lonely. I arrange one on one catchups (video conference) with my friends. I spend time with my parents and with my sister. I make these conversations deeper. I write my three â€œgratefulâ€ things each day. I remember that I am part of a community and that these people care about me.,Low
1150,"I would go out to get essential supplies and visit at least 5 places where I regularly shop and know some of the serving staff.  IN each shop, I would have a friendly interaction with at least one person.  I would also send a text or email to at least one close friend, either in response to a message they have sent or a new message initiated by me.  These steps would help me to feel less isolated.",Medium
547,"I have been feeling isolated and lonely lately. This feeling gets me down. In order for me to feel less isolated and lonely, the onus is on me to reach out (via phone call or email) to people to check in on how they're going as they may be feeling the same way too. In doing so, I know that I am not only helping the other person but it actually makes me feel more connected and closer to people. ",Low
995,I would text two friends and see how they are going. I would call one after to talk about work. It would feel like a chore.,Medium
110,"I would start with texting and video calling my family members as I am an oversea student who is away from home. I would also make time to connect with my housemates by having meals together. I would also video call some friends from home to connect with them and check on how are things going. With that, I would feel wanted and realized that there are still people who cares for me.  ",Medium
66,"Make a mental note of people I either have concerns about or havent spoken to for a while.  Determine to make time to phone at least one or more on that list.  Mentally decide not to do something else eg turn on the TV or pick up that book, until I have made the phone call.  Make the phone call and enjoy a great conversation which made both me and the person I called feel energised and connected.  Determine to repeat with another on the list tomorrow and if they dont reply then send a text message or an email saying I had tried to make contact and asking them to call for a chat when they have time.",Medium
1119,"I have contacted friends and relatives.
I have had conversations friends and relatives.",Medium
1038,I would prioritise the list of people I would like to talk to to make me feel connected. I would organise a WhatsApp call with the first couple on the list by sending them a WhatsApp message checking on their availability. I would call the ones that responded positively. I would hopefully feel more connected and closer to the people I called.,Medium
1192,"I feel isolated and lonely. I think about who would be the best person to make me feel happier at this time. Can i see them easily or do i need to drive to them? Are they working? 
Can i call them or should i send them a text? Who will be the most likely to answer?
I would message/call a couple of people and at least one would answer. This would cheer me up and i would no  longer be lonely.",High
838,I would go through my contact list and choose some people to call. Then I might organise a video chat to get together a few friends. This would negate and feelings of isolation and loneliness if I can connect with others.,Medium
553,"I would think about what would help me the most, if  I should connect with nature and move or if I needed to speak with someone about what was making me feel isolated and lonely. Then when I have thought about what I need to do I would either put my shoes on and get out of the house or I would text or ring a friend up to talk with and tell them how I feel and also ask them how they are so I could get an insight into their world and remember that we all have different things to cope with. This would make me appreciate the good things in my life and also give me a sense of being helpful and caring to someone else. If I ended up going walking I would concentrate on problem solving and then after I had given it my undivided attention I would focus on my surroundings or the elements and feel of the wind on my skin and feel happy to be in nature. It would help me feel closer to being peaceful and connected to the world.",Medium
698,If I am feeling lonely and isolated I would check the facebook pages of my family members.  I would also telephone a few family members to see how they are and find out what is going on in their lives.  I would then fill in my day connecting with others and this would stop me feeling lonely.,Low
308,"This would depend on the time of day, and whether I know that other people are working/sleeping etc.

If I am unable to contact people, I might meditate on how I am feeling, or listen to a podcast.  I might see what friends have posted on social media and participate in that way.

I might try contacting some of my friendship/family groups via whatsapp or messenger.

If it is not too late in the day, but friends are working, I might consider calling my father or my aunt.

If it is not during work hours, I would speak with my partner, who I live with and if I needed further social contact, I would call a close friend or family member.  I might arrange for a group activity, such as watching a film together in our own homes but at the same time.  I might also arrange a socially distant catch up, in a friend's front garden, if I was feeling really isolated.",Low
627,initiating conversations via sms or social media - sharing pictures or thoughts and inquiring about other people. Calling people you regularly speak to and join social groups via zoom.,Low
610,"I'm feeling isolated and lonely. It's not good, I know. Opening my laptop, I'm going to check my emails. After that, it's time for me to take a video call with my dad, who's far away from me now.  Now I feel connected and closer to people.",Medium
198,"I would likely be feeling this way because I am not having any face-to-face (in person) contact with anyone except for my parents. I also do not generally have many close friends. First I would probably tell myself that there is no point feeling sad or lonely because people only let me down and hurt me anyway... so it's easier to be on my own. I would probably also talk to my mum about how I was feeling. I would listen to music and would also likely post on my anonymous online blog to let the feeling out.

If doing those things didn't help (they likely wouldn't make me feel more connected to people) and I kept ruminating, then I would probably get in contact with some friends or acquaintances. I would message my best friends and see how they are doing. I may also email or have video chats with work friends. These actions would make me feel more connected to people and less alone. I would force myself to be in contact with people, even if I didn't feel like it, because I know it will help in the end.",Medium
545,"I would contact my family or friends to see if we could FaceTime.
I would then arrange a suitable time for the FaceTime.
I would then have a great chat to my family/friends and feel better and not so lonely or down",Low
943,"Allocate time. Get a good nights sleep.
Make a list of friends and acquaintances.
Get in touch with as many as possible and chat.
Message Facebook acquaintances or similar.
Exercise outdoors and smile at everyone.
Attempt tasks that include others",High
1191,I wake up feeling isolated and lonely.  I have a cup of coffee and breakfast to wake up.  I take the dogs for  walk and chat to others out walking with and without their dogs.  I get back home and give the dogs a treat for being good.  I then take a shower and wash my hair.  Put on some clean clothes and feel good about tackling the day.  I talk to my neighbour over the fence about her renovations and then sit down to the computer to start work.,High
181,I would increase my exercise level and then join a sports club.,Low
986,I do miss our church gathering and choir practice.  I will contact the choir members by facetime and share our favourite hymns.  Organise for a few of them to visit us on the weekend to keep the numbers within the allowed limit as well as maintain social distance and then practice a hymn or two.  Have a cuppa using disposables and share a laugh and pray together hoping for all this to end for us to be safe and meet again and sing at church.,Medium
386,"I would make phone calls to friends who are family members and that would put me in a confident place emotionally. 
Then I would make some kind of a catch up through a meal or coffee or visit a friend together or go shopping together for the purpose of deepening the relationship particularly after the isolation.
I would invite someone home for a meal",High
561,I would make a list of friends and family I would like to feel more connected to.  Throughout different intervals during the day I would either call or text the people on that list.  If they are keen on talking I would plan a time where we could talk on the phone in greater length. This would mean i could connect with my friends even though we may not be able to visit eachother at this time. i would feel more connected and closer to people.,Low
184,"I would send a text to one of my friends to see what time would be OK for me to give them a call.  Once I got their response I would put date and time in my diary.  I would let my husband know that I would probably be on the call for a while.  I would call my friend.  We would talk about things of interest to both of us, including my friend who is in hospital in a mental health facility at the moment (not from COVID -19), and how I am feeling useless not being able to talk to her or visit her.  I would take on board the suggestions my phone call friend would make and try to realise my friend in hospital needs this time to herself to get back to good health. After maybe an hour, I would say goodbye to my friend and tell her I appreciate talking to her and that I send my love to her and hope she stays safe and well.  After the call I do feel a lot better ""inside"".",High
584,"Force myself to:
- Empty the dishwasher
- Fill with remaining plates etc
- wipe the benches
- put out the rubbish
- vacuum the floor
Reward myself with some couch time - feel like I did something.
",Medium
704,I would look on my phone and address book to see who I have not contacted for a while. Then I would text or ring some people. Then get out my cards and write a couple of cards to cheer up the recipient and myself. This resulting in me feeling connected with others.,Medium
185,I would organise a house party via the app with my friends in advance so everyone could make it. I would screen it through my apple play onto the big tv and play music. I would set up some nibbles and drinks. We could catch up on what's happening in our lives and have a dance. This would be awesome and I would be very happy.,Medium
485,"I would attempt to step back and visualise or pinpoint what has been making me feel lonely and isolated. Once realising it has been not being able to see my friends or spontaneously go out to the shops or to bars; I would come up with an alternative. I would try connect more with my friends over face time and messenger, orgainse a group video call and talk with them. I would ask if one or two of my friends wanted to come over (still practicing social distancing) to have lunch or dinner and socialise with them.  ",Medium
90,"If I am feeling isolated and lonely and would plan to ring friends or family.  Also I would take my dog out for a walk up and down my street.  If I get to speak to someone, I ask them how they have been going during this time and how they are coping with the social distancing etc.  This makes me feel connected to my friends and family and neighbours and closer to them.",Medium
750,"I would start several group messages - one to friends living close by, one to friends living overseas, and one to family scattered all over the world.
I would suggest a video chat time to see who was available
Once I receive responses I would plan either an online chat or a walk with local friends
These events would happen and I would feel connected",Medium
1235,"I love to be with friends and because of the corona pandemic and quarantine I lost my connect with my friends as I could not hangout out often. I was kind of depressed as I lost my job and was undertaking my course online and 3 my mind was so empty . As days passed, I decided to engage myself in activities like learning new skills, watching motives and I also got in touch with people via social media platforms. In the mean time, I got so attached with my home mates. I shared a lot with them and got too know a lot from them which gave a feeling that Iâ€™m getting connected and loved by people. ",Medium
778,"I feel isolated and lonely because my husband is stuck in another country due to lockdown. There is nothing I can do to make this story better. I have also moved back to Australia after living overseas, and all my work is overseas. The only way I can improve my feeling of isolation is to continue with home based work and have video calls and chats with my colleagues overseas. I have no friends where I now live and I do not see myself able to change this as I can't go to group gatherings where I could meet friends and get connected or closer to people. My family lives in another part of the State. I stay connected via text, email, video, but it doesn't make me feel any closer or connected. I only see a positive end to this story when the restrictions are released for group gatherings of a sizeable nature.",Low
149,"Lately I have been feeling lonely ,, the steps to make this time feel less Linley
Could engage in a online book club ,, read the books and be part of a chat about the book using Facebook live or Skype
Organise a neighbour drop off of some nice things people might like to have and a nice note this can be done by organising through social media everyone gets a house number on street they need to deliver to , drop off to mailbox
Virtual recipe phone delivery send message to two of your contacts and a recipe, number the contacts 1 and 2 , the frist person then copies message and adds new recipe and sends it to contact 2 even if they don't know them , contact 2 then becomes contact one and the person sending message puts a new contact 2 
I feel this will help to feel less isolated ",High
530,"I would think about people I haven't spoken to recently and call them, I would look at facebook and message friends.  I would facetime with my family.",Low
1234,"Contact a friend by phone. Find number, call friend.
Conversation with that person, organise to meet as restrictions have been relaxed.
Enjoy catching up with the friend, visit coffee shop together, good conversation face to face.
Friendship hasn't changed even though we haven't seen each other for three months due to Covid.
",Low
601,"I would look at the plans I already have on the go for the day and the week ahead, I would look at the diary where I put down my contacts with others and possibly reassure myself that I actually have a lot of things planned which involve such contact. In this way I might decide that I am actually well connected in general and I just need to relax into being at home and being more at peace with quiet times. I would reflect on the fact that I am someone who tends to overfill my time. If I saw that the day or few days ahead were free of people contact I would review my family, friendship and activity groups and make contact with someone who I have been missing and/or someone who might also like the contact. I might text or email them and see if they wanted to set up a time to zoom, phone or even go for a walk and takeaway coffee. Then I would feel that I am still maintaining being connected to those that I care about.",Medium
1057,"I am feeling isolated and lonely. I would try to call three different friends and hope that one answers, or at least one calls back. I would think of something to do for another person in greater need than me. For example, I would bake or shop for our elderly neighbour. I would check on the family of one of my children's classmates and see how they are feeling, and have a laugh at how crazy caring for children in isolation is.  I would be feeling more connected to people by the end of the day. ",Medium
75,"I would make a mental list of people who are available to me, in order of preference (close friends and family first, whoever will make me feel happier by spending time with them). Then I would eliminate those who I cannot access, due to distance or other barriers (if they are unwell, on vacation, etc), then I would contact them one by one via text or whatsapp to make that initial connection to alleviate my immediate loneliness. Then I would see if any of them are free for a phone call, and then make future plans to see them and spend time with them. I would also make plans to make more regular meetings with friends and family, and also look to fit more social interactions in my life in future, through a new hobby or volunteering.",Low
381,"I would start with deciding which person I would like to connect with the  decide how to contact this person. I could text but too impersonal, I could call but feel I need to see them. I have decided to facetime and arrange a suitable time to call. After connecting visually, I feel not so isolated and relaxed after talking to this particular person. ",Low
276,"I would send text messages to my sister and closest friends and ask when they are available for a chat. They all work full-time so I always contact them first to arrange a suitable time. If they are unavailable, I like to go on Twitter for a while as it is a social platform that helps me feel connected to society. Occasionally I comment on controversial topics and I like to see the responses I receive - I can take the good with the bad. By the end of the day I am often craving physical adult company so I look forward to chatting with my husband over a glass of wine.",Low
1179,"I would think of who I know and who makes me feel good when Iâ€™ve spoken to them or sent them a text message. Before going any further I would take a moment to take some deep breaths to calm myself, then I would call my best friend as she makes me feel on top of the world whenever we chat. If I couldnâ€™t get in contact with her I would send some text messages to other close friends and start a conversation that could lead to me to talking about how Iâ€™m feeling and getting some support. This would assist with me feeling less alone and less stressed and feeling like I can move forward with my day/life in a more positive way.",Low
204,"I would think someone whom I trust, who might have time to talk now.  I would send them a text and say I would love to have a chat and what time might suit them.  I would then give them a ring/video call at that time.  If they were busy or I was in need of a chat NOW, I would ring another close friend and just let them know I felt lonely and wanted to hear their voice.  I am confident that any of my friends would respond to me need and I would then feel much better.",Low
1076,"Identify feelings of loneliness & isolation.  Evaluate if bothersome enough to attempt connection with someone else, if can handle alone by reading, gardening, dog interaction etc or if it's likely to pass without intervention.  If intervention indicated, identify what type of conversation I'd want to have & most suitable relative or friend to connect with.  Identify if it's a suitable time of day to contact person (Working? Sleeping?) Phone or send text message as suitable.  If no answer, try another friend or relative etc.  Leave voice message or text.  If no-one available, wait patiently for return phone call or text message (this has happened to me!)  Do something physical while waiting.",Medium
37,I'm feeling isolated and lonely because there is no church service to go to. First I will ring my friend who lives next to the nearby church to get details of how they are streaming services. I will go online and do a tutorial on the software and practice using it. I will ring my friend again to check on the time of service and make sure I understand how to join in next Sunday. I will ring another member of church to see if I need anything (a hymn book?) or if I can contribute anything to the service such as flowers from my garden. I will check the website of the church to verify details and see if there are other activities. On Sunday I will feel more connected to the people I used to see on Sunday by joining in by Zoom on my smartphone.,Medium
591,"make appointments with medical specialists, spend time in nature, listening to music, read how others have overcome struggles, self soothing when the pain from the past gets overwhelming 

Accepting I will never really feel connected to and closer to people because of my childhood experiences with trauma and trust, that's just who I am",Medium
582,"I am missing the social interaction with friends and work collegues so I look at me phone contacts and social media and contact people I have been thinking about and missing
I either send them text messages or make a post on social media and when I receive a response i fee connected and closer to people
",Low
3,"I would firstly engage in having a coffee with my partner and share how I feel.  Next would be a face-time call to one of my sisters which involves catching up on news of themselves, their & our family and mutual friends.  Later a walk with my partner and our dog ... seeing and greeting other folk in the outdoors is a great way to refresh.  By the end of this I'd fell connected and closer to people.",Medium
1181,"I am feeling alone and isolated and lazy , i text a friend that always gives me a lift or phone them or look at pictures or videos of these people of times we have enjoyed in the past,This has worked so I take advantage of this quick lift and energy so i do the house work that desperately needs to be done because I have been lazy and unproductive , i then put on my joggers and and go for a relaxing work while listening to my favourite up lifting music , after my walk I feel healthier in mind and body so i clean the house put some washing on, do the dishes , maybe prepare the nights meal in knowing i will probably not feel like going to the effort to prepare something healthy as I would be tired after my walk and cleaning , while doing this I would more than likely have a netflix series on that I enjoy watching but can also follow while not sitting and actually viewing it ( listen and stay up to date without having to pause ) I would probably be feeling very proud of myself after finishing all these tasks and sit down and watch a movie or do some study on the certificate lll that I am presently studying all these things have made me feel productive and happy in myself so again I may ring someone or text someone , but this time it would be someone that I know may be doing self distancing or going through a bad patch and try and lift them as I do like to pass on either good fortune or positive feelings when I get them but only would do this once I was completely happy with my own effort so talking to someone that isn't positive cannot undo what I have achieved myself if it I have to positive while they may be venting.   ",Low
235,"I would phone friends and family and chat about their experiences.
This would make me feel less isolated.
I would go for a walk and acknowledge other people passing - most people will chat.
I would speak to neighbours if they are outside.
I would listen to the radio music station.
I decide to volunteer to assist through the council care scheme and ring to organise that.
",Medium
395,"I am 1 feeling sad and lonely and uncertain of the future. I get my phone and peruse on Instagram and Facebook, this will get my mind of it and I can see what my friends are up to and send them messages. This makes me feel less bored and more involved in their lives. I ask if they want to meet up for coffee and we arrange a meeting later on this week. This makes me excited and happy cause I have something to look forwards too.",Medium
694,"Contact family and friends. 
Try to help them with there isolation difficulties. Talk to them, provide assistance if required. ",High
351,"I would write down a list of people whom I could possibly contact. I could write two lists: Family and Friends. I could work out how best to contact each person: phone, text, email. I could then try to contact each person and check on them and if any of them are receiving visits. Using my diary, I could schedule time to visit or video call. The biggest problem is trying to hold a conversation and getting motivated to start the calls also not giving up if they do not answer. I always feel like I do all the contacting. Hopefully, after getting the courage to do this, I will feel happy that I made connections.",High
970,"i would like to feel more connected so i wold like to plan to have a bbq with a few people over, 
this would increase my interactions with others
i would  invite another family at a time suitable, go to the shops and get the necessary items 
we would have a great time sitting around talkung and laughing and start to see the light at the end of this tunnel",Medium
147,"I am feeling isolated as I cannot spend time with my granddaughters. They live in a town 100kms away from where I live. I listen to the radio each day to get updates on what is allowed in contact for my state QLD. The ABC radio tells me visits to family are allowed on Mothers Day but only 2 people per household. I plan to visit but my partner prefers to wait until there is another opportunity. I travel to my sons house and spend the day playing with, reading to and singing with my granddaughters and travel home before dark.",Low
625,"I would make a conscious effort to think about the people I like being around, and/or those who I find motivating.  I know I get motivated by motivated people - no matter how well I know them.  Instead of being the one waiting for someone to touch base with me, I'd make a big effort to reach out.  I'd have to decide whether it's a one or one, or a small group, and then, how would this happen, by txt/phone/zoom.  I decide that a small group would be best (zoom chat) - not so heavy/intimate, but more a ""great to see you all"" environment - as a first step, and perhaps then not the emphasis on my own problems, but finding out what everyone else is up to/feeling. I'd invite a small group, no more than 4 but 3 better (say by FB messenger) e.g. ""just touching base to say hi and see if any of you are up for a zoo catchup chat - maybe 3:00pm on Thursday"" .  Wait for their response, set up the preferred arrangement, and then it's actually me that makes the call when the time came.  Even though the chat might be general, some people may open up and share, who knows where the conversation will head.  Maybe the next day, I would contact just one of the group I felt a stronger connection with.  Send a message ""hey it was great to chat yesterday...perhaps I can call again so we can chat some more - I'd really appreciate that"".  Hopefully the reply would be a positive one...and if not, oh well, at least I tried.  My next effort would be something completely different e.g. a group chat on-line with strangers through a reputable support group.  Being anonymous might just have it's advantages - everyone might really open up and share their load.  1 knowing that someone else is worse off than me is enough to pull me through my own stuff - and realise it's not forever.",High
292,"I would call close family / friends and stay in contact
I would make a plan to connect with close friends / family by walking with them.
PErhaps I would also make sure my neighbours didnt need anything and cook for them to make their lives easier.
I would plan a zoom call with a group of mates
I would cook with my children.
All leading to me being in touch with people and feeling better about not thinking about my business (or lack of after working for 17 years to make it so successful).
",Medium
524,"I would make a list of people that I know, dividing it into people that live close by, people who live in other parts of Australia, people who live overseas, and people that I haven't had contact with for a long time. To help me remember people, I think of all the places I've lived, worked and studied. Starting with people close by, I would message/text/email/ring to make contact with them. Then I would make my way through my list, contacting people and replying if/when they respond. With people who seem to respond well to my contact, I would keep up with more regular contact. I can  also start to make a conscious effort to connect with people on a daily basis, such as on my exercise walks, to say hello and engage them in conversation if it feels appropriate. I can also check in on my neighbours.",Low
207,I am feeling lonely and isolated so i decided to video chat with a friend i have not seen for several months due to the COVID 19. I text her and arranged a time. I rang her via video chat and we talked for over an hour. I felt happy and connected to others.,Medium
58,1. I would think about those people who I  think would be responsive to me.2. I would choose those who would be most likely to be able to have time to respond.3. I would check their contact details 4. I would choose a time and place to contact them and make sure I would not be interrupted by asking my housemate not to disturb me. I would call and talk -maybe making arrangements for a further chat.  I would do this with others as well and maybe send a group email to some I am in touch with. I would fel less lonely and more connected.,Medium
182,"Find 2 people in my immediate community I would like to connect with. We should have similar or same interests & values.
Look at community groups of interest in my area. Visit the groups to find one that resonants with me. Make a commitment to join and visit the group regularly meeting different members. 
Contact a voluntary organisation looking for places of interest to volunteer with. Commit to volunteering once a week.",Medium
886,"I wake up feeling lonely and isolated and don't want to get out of bed.I lay there full of dread at having to face another day .I tell myself that today will be different, today will be ok. I force myself to get up and go to the window. It's a beautiful morning and I try to get motivated so I decide to go for a walk.I go to my closet and try to find something to wear something that will fit and that I will feel comfortable in. I start to feel fearful as I have nothing right to wear and I'm now in tears. I crawl back into bed.I lay there wanting to die and sodding I just carn't shake this loneliness.I growl at myself for being so weak, there are people out there that have lost everthing and I'm crying because I carn't find something to wear.I get up and once again go to the closet I choose a T shirt and some shorts I put on some socks and my joggers and head to the front door.I stand in the door way waiting for something to happen something to get me going.I turn around and go get my sunnies and hat and tell myself to get moving.I lock the door behind me and off I go.It is a beautiful morning the sun is up the birds are chirping and life is going along.People say good morning as they walk past and at first I hide my face and just keep walking but the further I walk the better I start to feel and I start to say good morning back,it feels good and I start to feel connected and closer to people its a wonderful feeling.",High
364,"Firstly, actually identifying that what I am feeling is isolated and lonely and that the reason for this is that I would really like to feel more connected to other people. Many years of depression and anxiety have made this a standard step for me when a feeling is impacting my life.

I would ask myself ""is there anyone in particular I need to feel more connected to, or am I generally just feeling lonely and just need interaction with others?""

The answer to that question determines whether I reach out to someone in a particular via a phone call, text, facebook message - being cognizant of the fact that, if I am already feeling lonely and isolated, then my mental state is probably a little fragile. This would mean I would contact close family or friend to whom I can just honestly state how I am feeling, knowing they will listen to me and help me feel better just by chatting either verbally or by text. I would usually message my closest friend. These steps would make me feel connected and closer to other people who are important in my life.

If it's a more general feeling, then I would also call or message a few friends/family or perhaps an existing FB group and ask how they are going and finding out what is happening in their worlds; is there anything I can do to help them etc.

The other thing I would do, is cook a meal for a friend who is struggling either financially or mentally at the moment and drop it over to them. This satisfies my need to help others when I am limited in how I can do so, and I feel connected to them by sharing my time and energy in a positive way that gets me out of my own head for a little while.




",Medium
208,"I mostly enjoy time by myself & can entertain myself quite easily.
I have found that during my time in isolation has had me thinking of how I may actually enjoy more time spent with people I care for.
The one thing I can say is I do miss a cuddle from a dear friend.
I have been making an effort with staying connected with people I canâ€™t touch or sit in the company with by talking on the phone more often, face timing which I wouldnâ€™t usually. Iâ€™ve had lots of giggles & still managed to interact visually. Iâ€™ve always sent random cards to friends over the years so Iâ€™ve upped the anti on that too.",Medium
