"Participant","Duration.x","Date.x","Image_Action.x","Image_People.x","Image_Emotion.x","Image_Vivid.x","Rater2.x","Q1","Q2","Q3","Q4","Q1.new","Q2.new","Q3.new","Q4.new","Steps","Effective","Concrete","Emotion"
384,6328,"13/05/2020 3:41","Sometimes","Sometimes","Sometimes","Perfectly clear and lively as real seeing","JS",4,5,6,6,2,2.5,3,3,2,2.5,3,3
385,1092,"13/05/2020 3:46","Most of the time","Most of the time","Most of the time","Clear and lively","",2,2,2,3,2,2,2,3,2,2,2,3
386,1006,"13/05/2020 3:50","Sometimes","Sometimes","Sometimes","Perfectly clear and lively as real seeing","",2,2,3,3,2,2,3,3,2,2,3,3
387,802,"13/05/2020 3:53","Not at all","Most of the time","Sometimes","Moderately clear and lively","",4,3,3,3,4,3,3,3,4,3,3,3
388,1060,"13/05/2020 3:56","All/almost all of the time","All/almost all of the time","All/almost all of the time","Perfectly clear and lively as real seeing","",6,2,2,3,6,2,2,3,6,2,2,3
389,1514,"13/05/2020 3:57","All/almost all of the time","Most of the time","Most of the time","Perfectly clear and lively as real seeing","",5,3,2,4,5,3,2,4,5,3,2,4
390,2541,"13/05/2020 3:58","Sometimes","All/almost all of the time","Most of the time","Clear and lively","LL",4,4,2,3,2,2,1,1.5,2,2,1,1.5
391,1428,"13/05/2020 4:03","Most of the time","All/almost all of the time","Most of the time","Clear and lively","KH",2,3,2,5,1,1.5,1,2.5,1,1.5,1,2.5
392,963,"13/05/2020 4:09","Most of the time","Most of the time","Most of the time","Moderately clear and lively","",1,2,1,4,1,2,1,4,1,2,1,4
393,2752,"13/05/2020 4:10","About half the time","Most of the time","About half the time","Clear and lively","CP",8,7,9,8,4,3.5,4.5,4,4,3.5,4.5,4
394,933,"13/05/2020 4:13","Sometimes","Sometimes","Not at all","Dim & vague, flat","",5,4,4,3,5,4,4,3,5,4,4,3
395,598,"13/05/2020 4:14","Sometimes","Most of the time","Sometimes","Clear and lively","",3,3,2,3,3,3,2,3,3,3,2,3
396,896,"13/05/2020 4:14","About half the time","Most of the time","About half the time","Clear and lively","",3,4,4,4,3,4,4,4,3,4,4,4
397,1756,"13/05/2020 4:15","Not at all","Most of the time","Not at all","Dim & vague, flat","",2,4,2,4,2,4,2,4,2,4,2,4
398,3598,"13/05/2020 4:16","Sometimes","All/almost all of the time","About half the time","Clear and lively","",3,4,0,4,3,4,0,4,3,4,0,4
399,41548,"13/05/2020 4:20","Sometimes","Most of the time","All/almost all of the time","Moderately clear and lively","",2,2,3,3,2,2,3,3,2,2,3,3
400,1489,"13/05/2020 4:24","Sometimes","Sometimes","All/almost all of the time","Clear and lively","",3,4,4,3,3,4,4,3,3,4,4,3
401,4872,"13/05/2020 4:33","All/almost all of the time","All/almost all of the time","All/almost all of the time","Clear and lively","",5,4,3,3,5,4,3,3,5,4,3,3
402,3167,"13/05/2020 4:33","Sometimes","Sometimes","About half the time","Moderately clear and lively","",1,2,2,3,1,2,2,3,1,2,2,3
403,2931,"13/05/2020 4:35","Sometimes","Most of the time","Most of the time","Moderately clear and lively","LL",0,0,0,0,0,0,0,0,0,0,0,0
404,980,"13/05/2020 4:36","Most of the time","Most of the time","Most of the time","Clear and lively","LL",5,3,3,3,2.5,1.5,1.5,1.5,2.5,1.5,1.5,1.5
405,782,"13/05/2020 4:39","Most of the time","Most of the time","About half the time","Moderately clear and lively","",3,2,2,3,3,2,2,3,3,2,2,3
406,1376,"13/05/2020 4:40","Not at all","Not at all","Sometimes","Clear and lively","",2,3,3,3,2,3,3,3,2,3,3,3
407,1181,"13/05/2020 4:40","Sometimes","Sometimes","Not at all","Dim & vague, flat","",0,0,0,0,0,0,0,0,0,0,0,0
408,11751,"13/05/2020 4:48","Sometimes","Sometimes","About half the time","Moderately clear and lively","KH",4,5,5,5,2,2.5,2.5,2.5,2,2.5,2.5,2.5
409,3111,"13/05/2020 4:54","Not at all","Not at all","Not at all","No image at all, you only “know” that you are thinking of the object","",3,2,3,3,3,2,3,3,3,2,3,3
410,7014,"13/05/2020 4:55","Sometimes","All/almost all of the time","About half the time","Perfectly clear and lively as real seeing","",2,3,3,4,2,3,3,4,2,3,3,4
411,1494,"13/05/2020 4:55","About half the time","About half the time","Sometimes","Dim & vague, flat","",5,4,4,4,5,4,4,4,5,4,4,4
412,2464,"13/05/2020 4:55","Sometimes","About half the time","Most of the time","Clear and lively","",5,5,5,3,5,5,5,3,5,5,5,3
413,3278,"13/05/2020 4:56","Sometimes","About half the time","Sometimes","Dim & vague, flat","JL",6,6,6,6,3,3,3,3,3,3,3,3
414,1555,"13/05/2020 4:58","Most of the time","Most of the time","Not at all","Moderately clear and lively","LL",2,2,2,4,1,1,1,2,1,1,1,2
415,2633,"13/05/2020 4:58","Not at all","Most of the time","All/almost all of the time","Moderately clear and lively","",1,3,3,3,1,3,3,3,1,3,3,3
416,1755,"13/05/2020 5:00","Most of the time","Most of the time","Most of the time","Moderately clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
417,1557,"13/05/2020 5:03","Sometimes","Sometimes","All/almost all of the time","Dim & vague, flat","",1,1,2,4,1,1,2,4,1,1,2,4
418,8445,"13/05/2020 5:04","Not at all","All/almost all of the time","About half the time","Clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
419,1390,"13/05/2020 5:09","Most of the time","Most of the time","Sometimes","Moderately clear and lively","",4,3,4,2,4,3,4,2,4,3,4,2
420,4673,"13/05/2020 5:11","Sometimes","Most of the time","Sometimes","Clear and lively","",2,3,2,3,2,3,2,3,2,3,2,3
421,867,"13/05/2020 5:13","Sometimes","Most of the time","About half the time","Perfectly clear and lively as real seeing","LL",3,2,2,4,1.5,1,1,2,1.5,1,1,2
422,1155,"13/05/2020 5:15","Sometimes","Sometimes","About half the time","No image at all, you only “know” that you are thinking of the object","",3,3,3,4,3,3,3,4,3,3,3,4
423,3532,"13/05/2020 5:19","Most of the time","Most of the time","Most of the time","Moderately clear and lively","",1,2,3,3,1,2,3,3,1,2,3,3
424,493,"13/05/2020 5:22","","","","","JL",0,0,0,0,0,0,0,0,0,0,0,0
425,3106,"13/05/2020 5:22","Sometimes","Not at all","Not at all","Clear and lively","",6,3,3,4,6,3,3,4,6,3,3,4
426,1013,"13/05/2020 5:38","Sometimes","Most of the time","About half the time","Clear and lively","",3,4,3,4,3,4,3,4,3,4,3,4
427,831,"13/05/2020 5:39","Not at all","Not at all","Most of the time","Dim & vague, flat","",0,0,0,0,0,0,0,0,0,0,0,0
428,685,"13/05/2020 5:39","Sometimes","Sometimes","Sometimes","Dim & vague, flat","",0,0,0,0,0,0,0,0,0,0,0,0
429,1454,"13/05/2020 5:50","Not at all","Most of the time","Not at all","No image at all, you only “know” that you are thinking of the object","",2,3,3,4,2,3,3,4,2,3,3,4
430,1243,"13/05/2020 5:50","Not at all","Sometimes","About half the time","Dim & vague, flat","",1,3,3,3,1,3,3,3,1,3,3,3
431,3358,"13/05/2020 5:53","Most of the time","Sometimes","All/almost all of the time","Moderately clear and lively","",4,2,2,3,4,2,2,3,4,2,2,3
432,837,"13/05/2020 5:59","All/almost all of the time","All/almost all of the time","Most of the time","Perfectly clear and lively as real seeing","",2,2,1,3,2,2,1,3,2,2,1,3
433,2217,"13/05/2020 5:59","Most of the time","About half the time","About half the time","Clear and lively","",2,3,3,3,2,3,3,3,2,3,3,3
434,1137,"13/05/2020 6:00","Most of the time","Most of the time","Most of the time","Clear and lively","",1,2,2,4,1,2,2,4,1,2,2,4
435,1914,"13/05/2020 6:12","Most of the time","Most of the time","Most of the time","Moderately clear and lively","LL",4,3,2,3,2,1.5,1,1.5,2,1.5,1,1.5
436,1178,"13/05/2020 6:14","About half the time","Most of the time","Most of the time","Clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
437,1129,"13/05/2020 6:15","Sometimes","All/almost all of the time","All/almost all of the time","Moderately clear and lively","AM",2,3,2,4,1,1.5,1,2,1,1.5,1,2
438,5140,"13/05/2020 6:25","Not at all","Not at all","Not at all","No image at all, you only “know” that you are thinking of the object","JS",0,0,0,0,0,0,0,0,0,0,0,0
439,960,"13/05/2020 6:28","Most of the time","Most of the time","Most of the time","Clear and lively","AM",3,2,2,3,1.5,1,1,1.5,1.5,1,1,1.5
440,33450,"13/05/2020 6:37","Sometimes","Most of the time","About half the time","Moderately clear and lively","",3,3,4,5,3,3,4,5,3,3,4,5
441,922,"13/05/2020 7:36","Most of the time","Most of the time","Most of the time","Perfectly clear and lively as real seeing","",0,0,0,0,0,0,0,0,0,0,0,0
442,2391,"13/05/2020 7:46","All/almost all of the time","All/almost all of the time","All/almost all of the time","Moderately clear and lively","",4,4,4,4,4,4,4,4,4,4,4,4
443,2061,"13/05/2020 7:49","Not at all","Sometimes","Sometimes","Moderately clear and lively","",3,3,2,0,3,3,2,0,3,3,2,0
444,3191,"13/05/2020 8:34","Not at all","Not at all","Not at all","No image at all, you only “know” that you are thinking of the object","",2,3,3,3,2,3,3,3,2,3,3,3
445,1640,"13/05/2020 12:11","Not at all","Sometimes","Sometimes","No image at all, you only “know” that you are thinking of the object","",3,3,3,2,3,3,3,2,3,3,3,2
446,1034,"13/05/2020 13:56","Most of the time","Most of the time","Most of the time","Clear and lively","",2,2,3,3,2,2,3,3,2,2,3,3
447,474,"13/05/2020 14:38","All/almost all of the time","All/almost all of the time","All/almost all of the time","Perfectly clear and lively as real seeing","",4,4,4,3,4,4,4,3,4,4,4,3
448,1230,"13/05/2020 14:49","Sometimes","Sometimes","Sometimes","No image at all, you only “know” that you are thinking of the object","JL",8,6,7,6,4,3,3.5,3,4,3,3.5,3
449,1868,"13/05/2020 14:51","Not at all","About half the time","Most of the time","Clear and lively","",1,3,2,5,1,3,2,5,1,3,2,5
450,1262,"13/05/2020 15:08","All/almost all of the time","All/almost all of the time","All/almost all of the time","Clear and lively","",3,3,3,3,3,3,3,3,3,3,3,3
451,1907,"13/05/2020 15:44","Sometimes","Most of the time","Sometimes","Moderately clear and lively","",6,5,5,5,6,5,5,5,6,5,5,5
452,1141,"13/05/2020 15:46","Not at all","Most of the time","Most of the time","No image at all, you only “know” that you are thinking of the object","",1,2,2,4,1,2,2,4,1,2,2,4
453,1383,"13/05/2020 15:55","Most of the time","All/almost all of the time","All/almost all of the time","Clear and lively","",6,3,4,3,6,3,4,3,6,3,4,3
454,53655,"13/05/2020 16:01","Not at all","Sometimes","Most of the time","Clear and lively","",1,1,1,4,1,1,1,4,1,1,1,4
455,923,"13/05/2020 16:01","Not at all","About half the time","About half the time","Moderately clear and lively","JL",3,4,3,6,1.5,2,1.5,3,1.5,2,1.5,3
456,3714,"13/05/2020 16:08","Not at all","About half the time","Sometimes","Dim & vague, flat","",2,3,2,2,2,3,2,2,2,3,2,2
457,2422,"13/05/2020 16:10","All/almost all of the time","All/almost all of the time","All/almost all of the time","Clear and lively","",2,3,3,5,2,3,3,5,2,3,3,5
458,1570,"13/05/2020 16:21","About half the time","About half the time","About half the time","Clear and lively","",4,2,3,2.5,4,2,3,2.5,4,2,3,2.5
459,1084,"13/05/2020 16:37","About half the time","Most of the time","Most of the time","Moderately clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
460,567,"13/05/2020 16:46","About half the time","All/almost all of the time","Sometimes","No image at all, you only “know” that you are thinking of the object","",3,2,1,3,3,2,1,3,3,2,1,3
461,689,"13/05/2020 16:46","Not at all","Sometimes","All/almost all of the time","Clear and lively","",0,3,2,5,0,3,2,5,0,3,2,5
462,1352,"13/05/2020 16:46","Sometimes","All/almost all of the time","Most of the time","Clear and lively","",6,5,3,4,6,5,3,4,6,5,3,4
463,464,"13/05/2020 16:48","About half the time","All/almost all of the time","All/almost all of the time","Clear and lively","",6,3,4,3,6,3,4,3,6,3,4,3
464,536,"13/05/2020 16:49","Most of the time","Most of the time","Most of the time","Clear and lively","",2,2,2,4,2,2,2,4,2,2,2,4
465,770,"13/05/2020 17:00","About half the time","Most of the time","Most of the time","Moderately clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
466,639,"13/05/2020 17:00","Sometimes","Sometimes","Sometimes","Dim & vague, flat","",0,0,0,0,0,0,0,0,0,0,0,0
467,950,"13/05/2020 17:01","Sometimes","All/almost all of the time","All/almost all of the time","Clear and lively","",3,4,4,4,3,4,4,4,3,4,4,4
468,860,"13/05/2020 17:04","All/almost all of the time","All/almost all of the time","All/almost all of the time","No image at all, you only “know” that you are thinking of the object","",2,3,2,4,2,3,2,4,2,3,2,4
469,950,"13/05/2020 17:10","About half the time","All/almost all of the time","About half the time","Moderately clear and lively","JL",6,6,6,6,3,3,3,3,3,3,3,3
470,2739,"13/05/2020 17:14","Not at all","Sometimes","Sometimes","Dim & vague, flat","",4,3,3,3,4,3,3,3,4,3,3,3
471,2039,"13/05/2020 17:16","About half the time","About half the time","About half the time","Clear and lively","",6,4,4,3,6,4,4,3,6,4,4,3
472,718,"13/05/2020 17:21","Most of the time","All/almost all of the time","Not at all","Moderately clear and lively","",2,3,3,4,2,3,3,4,2,3,3,4
473,3338,"13/05/2020 17:21","Not at all","Not at all","Sometimes","No image at all, you only “know” that you are thinking of the object","",6,4,5,3,6,4,5,3,6,4,5,3
474,1389,"13/05/2020 17:27","Sometimes","Most of the time","About half the time","Clear and lively","CP",6,4,3,6,3,2,1.5,3,3,2,1.5,3
475,595,"13/05/2020 17:27","Sometimes","About half the time","Sometimes","Clear and lively","KH",2,2,1,3,1,1,0.5,1.5,1,1,0.5,1.5
476,4049,"13/05/2020 17:29","All/almost all of the time","Most of the time","All/almost all of the time","Clear and lively","",9,5,5,5,9,5,5,5,9,5,5,5
477,44724,"13/05/2020 17:36","All/almost all of the time","All/almost all of the time","All/almost all of the time","Clear and lively","",2,3,4,3,2,3,4,3,2,3,4,3
478,690,"13/05/2020 17:36","Not at all","Not at all","Sometimes","No image at all, you only “know” that you are thinking of the object","",0,0,0,0,0,0,0,0,0,0,0,0
479,3009,"13/05/2020 17:38","All/almost all of the time","All/almost all of the time","Most of the time","Clear and lively","",2,3,4,3,2,3,4,3,2,3,4,3
480,1648,"13/05/2020 17:44","Sometimes","Sometimes","All/almost all of the time","Perfectly clear and lively as real seeing","",1,1,1,3,1,1,1,3,1,1,1,3
481,1300,"13/05/2020 17:45","Most of the time","Most of the time","Most of the time","Moderately clear and lively","",1,2,2,3,1,2,2,3,1,2,2,3
482,1350,"13/05/2020 17:47","Sometimes","About half the time","Sometimes","Moderately clear and lively","JS",0,0,0,0,0,0,0,0,0,0,0,0
483,2615,"13/05/2020 17:49","Sometimes","Most of the time","Sometimes","Dim & vague, flat","",3,3,2,3,3,3,2,3,3,3,2,3
484,1044,"13/05/2020 17:50","Sometimes","Sometimes","Sometimes","Dim & vague, flat","",3,2,2,3,3,2,2,3,3,2,2,3
485,1192,"13/05/2020 17:50","Sometimes","Sometimes","Sometimes","Moderately clear and lively","",3,4,4,3,3,4,4,3,3,4,4,3
486,3392,"13/05/2020 17:53","All/almost all of the time","All/almost all of the time","Most of the time","Perfectly clear and lively as real seeing","",1,3,3,3,1,3,3,3,1,3,3,3
487,1517,"13/05/2020 17:57","Not at all","Sometimes","Not at all","Clear and lively","",1,3,4,3,1,3,4,3,1,3,4,3
488,964,"13/05/2020 17:57","Not at all","Not at all","Most of the time","Dim & vague, flat","",0,0,0,0,0,0,0,0,0,0,0,0
489,4116,"13/05/2020 17:58","About half the time","Most of the time","Most of the time","Clear and lively","",1,4,5,5,1,4,5,5,1,4,5,5
490,822,"13/05/2020 18:00","About half the time","Most of the time","Most of the time","Clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
491,1518,"13/05/2020 18:00","Sometimes","Sometimes","Sometimes","Clear and lively","",5,5,5,3,5,5,5,3,5,5,5,3
492,5294,"13/05/2020 18:02","Sometimes","Most of the time","Sometimes","Moderately clear and lively","",4,4,3,4,4,4,3,4,4,4,3,4
493,740,"13/05/2020 18:08","Not at all","Sometimes","Sometimes","Clear and lively","JL",2,3,4,3,1,1.5,2,1.5,1,1.5,2,1.5
494,2159,"13/05/2020 18:09","Not at all","Most of the time","Most of the time","Clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
495,1305,"13/05/2020 18:09","Not at all","Sometimes","About half the time","Moderately clear and lively","",2,2,2,4,2,2,2,4,2,2,2,4
496,1336,"13/05/2020 18:10","Not at all","Sometimes","Sometimes","Moderately clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
497,811,"13/05/2020 18:13","Sometimes","All/almost all of the time","Most of the time","Clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
498,2155,"13/05/2020 18:13","Not at all","Sometimes","Not at all","Dim & vague, flat","AM",4,6,5,6,2,3,2.5,3,2,3,2.5,3
499,1541,"13/05/2020 18:16","Most of the time","About half the time","About half the time","Clear and lively","",2,3,2,1,2,3,2,1,2,3,2,1
500,1402,"13/05/2020 18:16","Sometimes","Sometimes","Sometimes","No image at all, you only “know” that you are thinking of the object","JS",15,9,9,8,7.5,4.5,4.5,4,7.5,4.5,4.5,4
501,4960,"13/05/2020 18:17","Sometimes","About half the time","Most of the time","Moderately clear and lively","CP",4,2,3,3,2,1,1.5,1.5,2,1,1.5,1.5
502,1248,"13/05/2020 18:20","Sometimes","Sometimes","Sometimes","Clear and lively","AM",2,6,6,6,1,3,3,3,1,3,3,3
503,10673,"13/05/2020 18:26","Most of the time","About half the time","About half the time","Clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
504,1483,"13/05/2020 18:27","Sometimes","Most of the time","About half the time","Moderately clear and lively","",4,2,2,3,4,2,2,3,4,2,2,3
505,769,"13/05/2020 18:36","Most of the time","Most of the time","About half the time","Perfectly clear and lively as real seeing","",3,2,2,3,3,2,2,3,3,2,2,3
506,3431,"13/05/2020 18:36","Not at all","Sometimes","Sometimes","Perfectly clear and lively as real seeing","",1,2,2,4,1,2,2,4,1,2,2,4
507,1262,"13/05/2020 18:38","Most of the time","Most of the time","Most of the time","Moderately clear and lively","",3,3,2,4,3,3,2,4,3,3,2,4
508,708,"13/05/2020 18:38","About half the time","About half the time","Sometimes","Moderately clear and lively","",4,4,4,3,4,4,4,3,4,4,4,3
509,2660,"13/05/2020 18:38","Sometimes","Most of the time","Most of the time","Moderately clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
510,1879,"13/05/2020 18:39","Sometimes","About half the time","About half the time","Moderately clear and lively","KH",5,4,3.5,3,2.5,2,1.75,1.5,2.5,2,1.75,1.5
511,1350,"13/05/2020 18:39","About half the time","About half the time","Sometimes","Moderately clear and lively","",3,3,4,3,3,3,4,3,3,3,4,3
512,1196,"13/05/2020 18:40","Not at all","Sometimes","Sometimes","Moderately clear and lively","AM",7,6,5,7,3.5,3,2.5,3.5,3.5,3,2.5,3.5
513,2399,"13/05/2020 18:40","Not at all","Not at all","Not at all","Clear and lively","",4,3,4,4,4,3,4,4,4,3,4,4
514,2021,"13/05/2020 18:43","Sometimes","Sometimes","About half the time","Moderately clear and lively","JL",4,6,6,6,2,3,3,3,2,3,3,3
515,1268,"13/05/2020 18:44","Not at all","Sometimes","Most of the time","Dim & vague, flat","",6,3,2,3,6,3,2,3,6,3,2,3
516,2292,"13/05/2020 18:45","All/almost all of the time","All/almost all of the time","All/almost all of the time","Perfectly clear and lively as real seeing","",0,0,0,0,0,0,0,0,0,0,0,0
517,2234,"13/05/2020 18:47","Most of the time","Most of the time","All/almost all of the time","Clear and lively","",2,3,3,3,2,3,3,3,2,3,3,3
518,755,"13/05/2020 18:47","Not at all","Sometimes","All/almost all of the time","Clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
519,857,"13/05/2020 18:51","Sometimes","Not at all","All/almost all of the time","No image at all, you only “know” that you are thinking of the object","JL",3,3,4,3,1.5,1.5,2,1.5,1.5,1.5,2,1.5
520,650,"13/05/2020 18:57","All/almost all of the time","All/almost all of the time","Most of the time","Moderately clear and lively","",2,3,3,3,2,3,3,3,2,3,3,3
521,4012,"13/05/2020 18:57","Not at all","Not at all","Sometimes","Dim & vague, flat","AM",2,6,4,6,1,3,2,3,1,3,2,3
522,976,"13/05/2020 18:59","Not at all","Most of the time","Most of the time","Moderately clear and lively","",4,3,2,2,4,3,2,2,4,3,2,2
523,891,"13/05/2020 19:10","About half the time","About half the time","About half the time","Dim & vague, flat","KH",1,3,3,3,0.5,1.5,1.5,1.5,0.5,1.5,1.5,1.5
524,5560,"13/05/2020 19:14","Most of the time","Most of the time","Most of the time","Clear and lively","",1,2,2,3,1,2,2,3,1,2,2,3
525,505,"13/05/2020 19:19","Not at all","Not at all","Not at all","No image at all, you only “know” that you are thinking of the object","",2,4,5,3,2,4,5,3,2,4,5,3
526,752,"13/05/2020 19:20","Not at all","About half the time","Sometimes","Moderately clear and lively","",3,4,4,3,3,4,4,3,3,4,4,3
527,3521,"13/05/2020 19:24","About half the time","About half the time","All/almost all of the time","Clear and lively","JL",4,7,7,6,2,3.5,3.5,3,2,3.5,3.5,3
528,2863,"13/05/2020 19:25","Sometimes","Sometimes","Not at all","No image at all, you only “know” that you are thinking of the object","",2,2,2,3,2,2,2,3,2,2,2,3
529,3099,"13/05/2020 19:27","Not at all","Sometimes","Sometimes","Dim & vague, flat","",3,3,2,3,3,3,2,3,3,3,2,3
530,1588,"13/05/2020 19:29","Sometimes","Sometimes","Sometimes","Clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
531,1743,"13/05/2020 19:34","Most of the time","Most of the time","All/almost all of the time","Moderately clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
532,1925,"13/05/2020 19:34","Sometimes","Most of the time","About half the time","Moderately clear and lively","",1,2,2,4,1,2,2,4,1,2,2,4
533,726,"13/05/2020 19:39","Sometimes","All/almost all of the time","Most of the time","Clear and lively","CP",4,6,5,6,2,3,2.5,3,2,3,2.5,3
534,1244,"13/05/2020 19:43","Most of the time","Most of the time","Most of the time","Moderately clear and lively","",3,4,4,3,3,4,4,3,3,4,4,3
535,617,"13/05/2020 19:45","Most of the time","All/almost all of the time","Most of the time","Perfectly clear and lively as real seeing","KH",3,3,1,3,1.5,1.5,0.5,1.5,1.5,1.5,0.5,1.5
536,2987,"13/05/2020 19:45","All/almost all of the time","All/almost all of the time","All/almost all of the time","Moderately clear and lively","",2,3,3,3,2,3,3,3,2,3,3,3
537,1132,"13/05/2020 19:49","Sometimes","Sometimes","Most of the time","Dim & vague, flat","LL",0,0,0,0,0,0,0,0,0,0,0,0
538,645,"13/05/2020 19:50","About half the time","About half the time","About half the time","Moderately clear and lively","",3,3,4,2,3,3,4,2,3,3,4,2
539,2457,"13/05/2020 19:57","About half the time","About half the time","Sometimes","Dim & vague, flat","KH",0,0,0,0,0,0,0,0,0,0,0,0
540,2998,"13/05/2020 19:57","About half the time","About half the time","About half the time","Moderately clear and lively","",1,3,1,5,1,3,1,5,1,3,1,5
541,814,"13/05/2020 19:58","Not at all","About half the time","Sometimes","Moderately clear and lively","",3,2,1,3,3,2,1,3,3,2,1,3
542,1284,"13/05/2020 19:59","Not at all","About half the time","About half the time","Moderately clear and lively","KH",2,2,1,3,1,1,0.5,1.5,1,1,0.5,1.5
543,440,"13/05/2020 20:01","Sometimes","About half the time","Most of the time","Moderately clear and lively","",3,4,4,3,3,4,4,3,3,4,4,3
544,1989,"13/05/2020 20:02","Sometimes","All/almost all of the time","Most of the time","Moderately clear and lively","LL",3,3,3,3,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
545,664,"13/05/2020 20:03","","","","","",0,0,0,0,0,0,0,0,0,0,0,0
546,1390,"13/05/2020 20:10","Most of the time","About half the time","Most of the time","Moderately clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
547,1064,"13/05/2020 20:12","Not at all","Sometimes","Sometimes","Clear and lively","",3,4,4,3,3,4,4,3,3,4,4,3
548,1054,"13/05/2020 20:18","Not at all","Not at all","Sometimes","No image at all, you only “know” that you are thinking of the object","",0,0,0,0,0,0,0,0,0,0,0,0
549,790,"13/05/2020 20:23","Sometimes","Sometimes","Sometimes","Moderately clear and lively","JL",2,2,3,3,1,1,1.5,1.5,1,1,1.5,1.5
550,694,"13/05/2020 20:24","About half the time","All/almost all of the time","All/almost all of the time","Perfectly clear and lively as real seeing","",3,2,2,3,3,2,2,3,3,2,2,3
551,599,"13/05/2020 20:28","Sometimes","Not at all","Not at all","Perfectly clear and lively as real seeing","AM",2,5.5,2,6,1,2.75,1,3,1,2.75,1,3
552,1212,"13/05/2020 20:32","About half the time","About half the time","About half the time","Moderately clear and lively","",1,2,2,3,1,2,2,3,1,2,2,3
553,3023,"13/05/2020 20:33","Sometimes","Sometimes","About half the time","Moderately clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
554,1757,"13/05/2020 20:34","Sometimes","Sometimes","All/almost all of the time","No image at all, you only “know” that you are thinking of the object","",0,1,1,1,0,1,1,1,0,1,1,1
555,942,"13/05/2020 20:45","About half the time","About half the time","Most of the time","Clear and lively","",2,3,3,3,2,3,3,3,2,3,3,3
556,1875,"13/05/2020 20:56","Not at all","Sometimes","Not at all","No image at all, you only “know” that you are thinking of the object","",4,4,5,3,4,4,5,3,4,4,5,3
557,440,"13/05/2020 21:00","Not at all","Most of the time","Not at all","Perfectly clear and lively as real seeing","",3,4,4,3,3,4,4,3,3,4,4,3
558,1479,"13/05/2020 21:04","About half the time","Not at all","Most of the time","No image at all, you only “know” that you are thinking of the object","",3,3,3,3.5,3,3,3,3.5,3,3,3,3.5
559,514,"13/05/2020 21:05","Not at all","Sometimes","Sometimes","Perfectly clear and lively as real seeing","CP",6,6,4,7,3,3,2,3.5,3,3,2,3.5
560,1620,"13/05/2020 21:06","Not at all","Most of the time","Most of the time","Clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
561,5279,"13/05/2020 21:07","Sometimes","Most of the time","Sometimes","Moderately clear and lively","LL",4,4,4,3,2,2,2,1.5,2,2,2,1.5
562,2112,"13/05/2020 21:13","Sometimes","Sometimes","About half the time","Moderately clear and lively","KH",2,2,3,4,1,1,1.5,2,1,1,1.5,2
563,845,"13/05/2020 21:20","Not at all","Not at all","Sometimes","No image at all, you only “know” that you are thinking of the object","",2,4,3,3,2,4,3,3,2,4,3,3
564,10170,"13/05/2020 21:20","About half the time","Most of the time","Sometimes","Dim & vague, flat","",3,3,4,5,3,3,4,5,3,3,4,5
565,1449,"13/05/2020 21:21","Sometimes","Sometimes","Sometimes","Moderately clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
566,503,"13/05/2020 21:27","Sometimes","Most of the time","About half the time","Clear and lively","",2,3,2,4,2,3,2,4,2,3,2,4
567,1719,"13/05/2020 21:27","Most of the time","Most of the time","Most of the time","Moderately clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
568,415,"13/05/2020 21:29","","","","","KH",3,4,2,3,1.5,2,1,1.5,1.5,2,1,1.5
569,588,"13/05/2020 21:33","Sometimes","About half the time","About half the time","Moderately clear and lively","",1,2,2,3,1,2,2,3,1,2,2,3
570,745,"13/05/2020 21:33","Most of the time","About half the time","Most of the time","Perfectly clear and lively as real seeing","",3,3,2,4,3,3,2,4,3,3,2,4
571,2042,"13/05/2020 21:37","Sometimes","Sometimes","About half the time","Clear and lively","AM",8,6,8,8,4,3,4,4,4,3,4,4
572,1411,"13/05/2020 21:37","Most of the time","All/almost all of the time","Most of the time","Moderately clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
573,1475,"13/05/2020 21:38","Sometimes","About half the time","About half the time","Clear and lively","LL",0,0,0,0,0,0,0,0,0,0,0,0
574,738,"13/05/2020 21:43","Not at all","Not at all","Not at all","Perfectly clear and lively as real seeing","",0,0,0,0,0,0,0,0,0,0,0,0
